Date,Forecast_Rainfall_mm
2022-01-01,0.8577192269435251
2022-02-01,0.23879081619831272
2022-03-01,1.5329986727074072
2022-04-01,1.3086326781622912
2022-05-01,18.659539562219898
2022-06-01,550.7929539884965
2022-07-01,846.8579639389465
2022-08-01,473.693046360109
2022-09-01,326.70047179962773
2022-10-01,36.266221638457026
2022-11-01,20.744925287912576
2022-12-01,4.34916440297596
2023-01-01,0.13098204674179686
2023-02-01,1.3667842258047065
2023-03-01,0.8086594401539297
2023-04-01,0.5736176338277137
2023-05-01,97.81218488122053
2023-06-01,676.8645402777595
2023-07-01,499.88064612130614
2023-08-01,494.77661902692176
2023-09-01,315.155938438161
2023-10-01,38.133975747232746
2023-11-01,10.041232294367509
2023-12-01,3.239807453150757
2024-01-01,0.6624328000255341
2024-02-01,0.7285532894303798
2024-03-01,0.6455875599139179
2024-04-01,1.0190331949651343
2024-05-01,43.78688234657627
2024-06-01,696.9222777977285
2024-07-01,731.7213294070649
2024-08-01,476.8012279544895
2024-09-01,325.2134951537771
2024-10-01,34.08688698127534
2024-11-01,39.1151250617768
2024-12-01,2.2396341898404923
2025-01-01,0.14087189638599926
2025-02-01,1.5282516642627402
2025-03-01,0.9192202498352471
2025-04-01,2.5677311235903257
2025-05-01,67.36781320957624
2025-06-01,728.5038395363798
2025-07-01,687.7893212440854
2025-08-01,452.8321359853851
2025-09-01,217.94950789268998
2025-10-01,36.34588575602676
2025-11-01,11.40796995351534
2025-12-01,2.5866708058603622
