Date,Rainfall
1920-01-01,42.61636876
1920-02-01,2.393320665
1920-03-01,0.0
1920-04-01,0.0
1920-05-01,0.0
1920-06-01,188.6336435
1920-07-01,742.4566021
1920-08-01,276.5107919
1920-09-01,129.3672547
1920-10-01,66.09744909
1920-11-01,0.0
1920-12-01,0.0
1921-01-01,0.0
1921-02-01,0.0
1921-03-01,0.0
1921-04-01,0.0
1921-05-01,0.0
1921-06-01,538.9768298
1921-07-01,1135.03441
1921-08-01,292.2584411
1921-09-01,355.5080224
1921-10-01,8.06174694
1921-11-01,0.0
1921-12-01,0.0
1922-01-01,0.0
1922-02-01,0.0
1922-03-01,0.0
1922-04-01,2.725738972
1922-05-01,0.102179736
1922-06-01,624.8790624
1922-07-01,881.6039224
1922-08-01,163.6224408
1922-09-01,252.9286002
1922-10-01,16.98972708
1922-11-01,9.37315385
1922-12-01,0.966011822
1923-01-01,0.0
1923-02-01,0.252415001
1923-03-01,0.0
1923-04-01,0.0
1923-05-01,0.0
1923-06-01,123.3952695
1923-07-01,1119.091645
1923-08-01,247.9889343
1923-09-01,437.2342987
1923-10-01,0.0
1923-11-01,0.0
1923-12-01,0.0
1924-01-01,0.0
1924-02-01,0.0
1924-03-01,0.162535921
1924-04-01,0.0
1924-05-01,0.0
1924-06-01,235.4754266
1924-07-01,498.8271006
1924-08-01,512.3221435
1924-09-01,339.4409819
1924-10-01,0.194165394
1924-11-01,3.693861246
1924-12-01,0.0
1925-01-01,0.0
1925-02-01,0.0
1925-03-01,0.894289628
1925-04-01,0.0
1925-05-01,86.60780831
1925-06-01,663.6154607
1925-07-01,282.2739187
1925-08-01,268.0023925
1925-09-01,106.1296136
1925-10-01,6.693493605
1925-11-01,12.5386769
1925-12-01,0.0
1926-01-01,51.34829044
1926-02-01,0.0
1926-03-01,0.0
1926-04-01,0.0
1926-05-01,0.485413477
1926-06-01,169.3579568
1926-07-01,1098.740924
1926-08-01,673.3954349
1926-09-01,380.8684194
1926-10-01,16.51295516
1926-11-01,0.0
1926-12-01,0.0
1927-01-01,0.0
1927-02-01,1.850566909
1927-03-01,0.155332312
1927-04-01,0.0
1927-05-01,0.0
1927-06-01,842.8968737
1927-07-01,543.9163467
1927-08-01,233.6216831
1927-09-01,168.5976365
1927-10-01,166.6817938
1927-11-01,42.03335442
1927-12-01,1.028530002
1928-01-01,0.0
1928-02-01,2.186449766
1928-03-01,0.0
1928-04-01,0.0
1928-05-01,3.379058957
1928-06-01,497.3891077
1928-07-01,735.4106655
1928-08-01,621.1039594
1928-09-01,220.8829574
1928-10-01,13.69747937
1928-11-01,2.014997661
1928-12-01,0.0
1929-01-01,4.399277329
1929-02-01,0.0
1929-03-01,1.192608953
1929-04-01,0.692951158
1929-05-01,0.0
1929-06-01,582.0122569
1929-07-01,354.0594627
1929-08-01,271.53043
1929-09-01,173.9760367
1929-10-01,118.8079208
1929-11-01,1.353132844
1929-12-01,8.938952446
1930-01-01,0.0
1930-02-01,0.0
1930-03-01,0.0
1930-04-01,0.0
1930-05-01,0.125027642
1930-06-01,699.6852793
1930-07-01,320.534919
1930-08-01,235.3800048
1930-09-01,818.5487818
1930-10-01,37.63115653
